scenario_id,chore,roommate,wtp_dollars,bid_dollars,grid_wtp,grid_bid,fine_demand_grid_wtp
15,kitchen_surfaces,3,10.77,13.4,15.0,15.0,7.5
16,clean_sink,1,8.23,4.53,15.0,0.0,7.5
16,clean_sink,2,3.45,3.85,0.0,0.0,0.0
16,clean_sink,3,4.62,3.78,0.0,0.0,7.5
17,kitchen_surfaces,1,16.32,11.46,15.0,15.0,15.0
17,kitchen_surfaces,2,7.27,8.37,0.0,15.0,7.5
17,kitchen_surfaces,3,15.0,11.36,15.0,15.0,15.0
18,clean_bathrooms,1,27.62,88.32,30.0,45.0,30.0
18,clean_bathrooms,2,12.94,50.75,15.0,45.0,15.0
18,clean_bathrooms,3,14.21,70.96,15.0,45.0,15.0
19,clean_bathrooms,1,31.81,72.87,30.0,45.0,30.0
19,clean_bathrooms,2,9.24,38.74,15.0,45.0,7.5
19,clean_bathrooms,3,14.6,80.57,15.0,45.0,15.0
20,vacuum_downstairs,1,15.26,14.02,15.0,15.0,15.0
20,vacuum_downstairs,2,7.84,12.61,15.0,15.0,7.5
20,vacuum_downstairs,3,10.66,24.07,15.0,30.0,7.5
21,put_away_dishes,1,29.88,18.72,30.0,15.0,30.0
21,put_away_dishes,2,17.39,14.91,15.0,15.0,15.0
21,put_away_dishes,3,15.11,21.3,15.0,15.0,15.0
22,clean_microwave,1,8.89,8.63,15.0,15.0,7.5
22,clean_microwave,2,5.56,7.05,0.0,0.0,7.5
22,clean_microwave,3,3.66,8.3,0.0,15.0,0.0
23,clean_bathrooms,1,26.35,71.54,30.0,45.0,30.0
23,clean_bathrooms,2,11.52,46.67,15.0,45.0,15.0
23,clean_bathrooms,3,16.28,54.15,15.0,45.0,15.0
24,clean_microwave,1,5.6,7.12,0.0,0.0,7.5
24,clean_microwave,2,4.12,10.4,0.0,15.0,7.5
24,clean_microwave,3,2.93,6.96,0.0,0.0,0.0
25,clean_bathrooms,1,37.14,69.56,30.0,45.0,37.5
25,clean_bathrooms,2,11.77,44.61,15.0,45.0,15.0
25,clean_bathrooms,3,15.86,63.47,15.0,45.0,15.0
26,trash_recycling,1,49.39,24.18,45.0,30.0,45.0
26,trash_recycling,2,42.0,17.07,45.0,15.0,45.0
26,trash_recycling,3,26.35,12.71,30.0,15.0,30.0
27,put_away_dishes,1,35.52,16.82,30.0,15.0,37.5
27,put_away_dishes,2,15.01,20.07,15.0,15.0,15.0
27,put_away_dishes,3,18.51,15.75,15.0,15.0,15.0
28,put_away_dishes,1,28.71,22.31,30.0,15.0,30.0
28,put_away_dishes,2,12.41,15.37,15.0,15.0,15.0
28,put_away_dishes,3,24.51,21.51,30.0,15.0,22.5
29,put_away_dishes,1,29.04,15.13,30.0,15.0,30.0
29,put_away_dishes,2,18.65,16.16,15.0,15.0,15.0
29,put_away_dishes,3,18.14,12.08,15.0,15.0,15.0
30,put_away_dishes,1,32.17,15.89,30.0,15.0,30.0
30,put_away_dishes,2,18.51,15.21,15.0,15.0,15.0
30,put_away_dishes,3,17.24,15.61,15.0,15.0,15.0
31,clean_sink,1,8.24,4.69,15.0,0.0,7.5
31,clean_sink,2,3.43,3.99,0.0,0.0,0.0
31,clean_sink,3,4.18,3.4,0.0,0.0,7.5
32,kitchen_surfaces,1,17.42,14.78,15.0,15.0,15.0
32,kitchen_surfaces,2,7.83,9.0,15.0,15.0,7.5
32,kitchen_surfaces,3,8.96,11.4,15.0,15.0,7.5
33,vacuum_downstairs,1,13.73,14.4,15.0,15.0,15.0
33,vacuum_downstairs,2,9.04,15.44,15.0,15.0,7.5
33,vacuum_downstairs,3,9.64,12.86,15.0,15.0,7.5
34,trash_recycling,1,59.16,14.79,45.0,15.0,45.0
34,trash_recycling,2,20.56,13.01,15.0,15.0,22.5
34,trash_recycling,3,28.87,16.07,30.0,15.0,30.0
35,put_away_dishes,1,28.52,18.42,30.0,15.0,30.0
35,put_away_dishes,2,19.5,14.82,15.0,15.0,22.5
35,put_away_dishes,3,16.16,13.58,15.0,15.0,15.0
36,trash_recycling,1,33.73,14.29,30.0,15.0,30.0
36,trash_recycling,2,19.33,16.31,15.0,15.0,22.5
36,trash_recycling,3,32.04,18.77,30.0,15.0,30.0
37,trash_recycling,1,29.79,19.5,30.0,15.0,30.0
37,trash_recycling,2,26.23,12.28,30.0,15.0,22.5
37,trash_recycling,3,20.95,16.5,15.0,15.0,22.5
38,clean_bathrooms,1,31.29,66.55,30.0,45.0,30.0
38,clean_bathrooms,2,12.74,61.4,15.0,45.0,15.0
38,clean_bathrooms,3,18.8,80.06,15.0,45.0,22.5
39,clean_microwave,1,7.17,10.34,0.0,15.0,7.5
39,clean_microwave,2,4.95,8.78,0.0,15.0,7.5
39,clean_microwave,3,4.53,9.47,0.0,15.0,7.5
40,clean_bathrooms,1,21.23,70.7,15.0,45.0,22.5
40,clean_bathrooms,2,14.05,53.1,15.0,45.0,15.0
40,clean_bathrooms,3,15.35,78.51,15.0,45.0,15.0
41,vacuum_downstairs,1,21.17,25.74,15.0,30.0,22.5
41,vacuum_downstairs,2,6.76,10.33,0.0,15.0,7.5
41,vacuum_downstairs,3,9.9,19.67,15.0,15.0,7.5
42,clean_sink,1,8.27,4.5,15.0,0.0,7.5
42,clean_sink,2,3.71,2.87,0.0,0.0,0.0
42,clean_sink,3,3.08,3.94,0.0,0.0,0.0
43,put_away_dishes,1,33.22,24.58,30.0,30.0,30.0
43,put_away_dishes,2,11.48,13.64,15.0,15.0,15.0
43,put_away_dishes,3,15.7,15.37,15.0,15.0,15.0
44,kitchen_surfaces,1,15.36,13.15,15.0,15.0,15.0
44,kitchen_surfaces,2,11.97,12.81,15.0,15.0,15.0
44,kitchen_surfaces,3,9.92,12.91,15.0,15.0,7.5
45,put_away_dishes,1,43.23,15.77,45.0,15.0,45.0
45,put_away_dishes,2,17.58,10.73,15.0,15.0,15.0
45,put_away_dishes,3,14.92,17.4,15.0,15.0,15.0
46,put_away_dishes,1,30.38,20.73,30.0,15.0,30.0
46,put_away_dishes,2,14.2,11.82,15.0,15.0,15.0
46,put_away_dishes,3,16.72,23.81,15.0,30.0,15.0
47,put_away_dishes,1,31.09,14.32,30.0,15.0,30.0
47,put_away_dishes,2,17.31,13.65,15.0,15.0,15.0
47,put_away_dishes,3,15.33,15.41,15.0,15.0,15.0
48,clean_sink,1,8.47,3.84,15.0,0.0,7.5
48,clean_sink,2,3.97,2.6,0.0,0.0,7.5
48,clean_sink,3,4.07,5.37,0.0,0.0,7.5
49,clean_bathrooms,1,21.64,53.2,15.0,45.0,22.5
49,clean_bathrooms,2,16.47,63.55,15.0,45.0,15.0
49,clean_bathrooms,3,14.22,70.79,15.0,45.0,15.0
50,put_away_dishes,1,24.13,14.56,30.0,15.0,22.5
50,put_away_dishes,2,24.26,25.1,30.0,30.0,22.5
50,put_away_dishes,3,14.77,17.79,15.0,15.0,15.0
51,kitchen_surfaces,1,21.89,15.23,15.0,15.0,22.5
51,kitchen_surfaces,2,7.26,12.53,0.0,15.0,7.5
51,kitchen_surfaces,3,10.17,11.95,15.0,15.0,7.5
52,kitchen_surfaces,1,23.3,12.95,30.0,15.0,22.5
52,kitchen_surfaces,2,9.72,13.17,15.0,15.0,7.5
52,kitchen_surfaces,3,10.33,10.78,15.0,15.0,7.5
53,clean_microwave,1,7.86,6.29,15.0,0.0,7.5
53,clean_microwave,2,3.02,6.79,0.0,0.0,0.0
53,clean_microwave,3,4.15,6.46,0.0,0.0,7.5
54,put_away_dishes,1,32.01,22.22,30.0,15.0,30.0
54,put_away_dishes,2,15.82,9.26,15.0,15.0,15.0
54,put_away_dishes,3,15.89,15.72,15.0,15.0,15.0
55,clean_sink,1,12.67,4.1,15.0,0.0,15.0
55,clean_sink,2,4.34,4.25,0.0,0.0,7.5
55,clean_sink,3,3.57,3.97,0.0,0.0,0.0
56,kitchen_surfaces,1,26.41,14.48,30.0,15.0,30.0
56,kitchen_surfaces,2,7.87,9.24,15.0,15.0,7.5
56,kitchen_surfaces,3,8.75,14.21,15.0,15.0,7.5
57,clean_microwave,1,10.0,8.77,15.0,15.0,7.5
57,clean_microwave,2,3.54,7.78,0.0,15.0,0.0
57,clean_microwave,3,4.57,5.42,0.0,0.0,7.5
58,clean_sink,1,8.74,3.75,15.0,0.0,7.5
58,clean_sink,2,3.43,2.92,0.0,0.0,0.0
58,clean_sink,3,4.37,3.86,0.0,0.0,7.5
59,kitchen_surfaces,1,15.5,11.81,15.0,15.0,15.0
59,kitchen_surfaces,2,8.25,13.58,15.0,15.0,7.5
59,kitchen_surfaces,3,8.72,12.48,15.0,15.0,7.5
60,put_away_dishes,1,29.69,23.73,30.0,30.0,30.0
60,put_away_dishes,2,21.77,19.58,15.0,15.0,22.5
60,put_away_dishes,3,13.87,13.27,15.0,15.0,15.0
61,trash_recycling,1,40.6,13.6,45.0,15.0,37.5
61,trash_recycling,2,22.9,14.63,30.0,15.0,22.5
61,trash_recycling,3,25.41,18.72,30.0,15.0,22.5
62,clean_bathrooms,1,23.26,77.42,30.0,45.0,22.5
62,clean_bathrooms,2,11.24,50.95,15.0,45.0,7.5
62,clean_bathrooms,3,13.14,50.33,15.0,45.0,15.0
63,kitchen_surfaces,1,14.34,14.09,15.0,15.0,15.0
63,kitchen_surfaces,2,7.43,9.76,0.0,15.0,7.5
63,kitchen_surfaces,3,8.98,13.98,15.0,15.0,7.5
64,trash_recycling,1,45.18,15.72,45.0,15.0,45.0
64,trash_recycling,2,32.05,17.34,30.0,15.0,30.0
64,trash_recycling,3,23.04,12.85,30.0,15.0,22.5
65,vacuum_downstairs,1,16.13,23.18,15.0,30.0,15.0
65,vacuum_downstairs,2,7.39,13.83,0.0,15.0,7.5
65,vacuum_downstairs,3,7.91,14.71,15.0,15.0,7.5
66,clean_sink,1,7.51,4.46,15.0,0.0,7.5
66,clean_sink,2,3.0,3.2,0.0,0.0,0.0
66,clean_sink,3,3.54,3.78,0.0,0.0,0.0
67,vacuum_downstairs,1,11.72,16.83,15.0,15.0,15.0
67,vacuum_downstairs,2,8.18,9.26,15.0,15.0,7.5
67,vacuum_downstairs,3,9.33,11.85,15.0,15.0,7.5
68,vacuum_downstairs,1,18.37,14.24,15.0,15.0,15.0
68,vacuum_downstairs,2,7.17,17.33,0.0,15.0,7.5
68,vacuum_downstairs,3,10.35,19.32,15.0,15.0,7.5
69,put_away_dishes,1,31.18,14.58,30.0,15.0,30.0
69,put_away_dishes,2,14.08,13.48,15.0,15.0,15.0
69,put_away_dishes,3,16.37,17.76,15.0,15.0,15.0
70,kitchen_surfaces,1,16.53,11.95,15.0,15.0,15.0
70,kitchen_surfaces,2,8.11,7.84,15.0,15.0,7.5
70,kitchen_surfaces,3,11.38,13.86,15.0,15.0,15.0
71,clean_microwave,1,5.96,5.81,0.0,0.0,7.5
71,clean_microwave,2,4.26,7.72,0.0,15.0,7.5
71,clean_microwave,3,4.01,5.23,0.0,0.0,7.5
72,kitchen_surfaces,1,25.13,14.28,30.0,15.0,22.5
72,kitchen_surfaces,2,10.62,11.26,15.0,15.0,7.5
72,kitchen_surfaces,3,7.48,5.8,0.0,0.0,7.5
73,put_away_dishes,1,27.31,14.8,30.0,15.0,30.0
73,put_away_dishes,2,15.23,14.56,15.0,15.0,15.0
73,put_away_dishes,3,21.52,17.19,15.0,15.0,22.5
74,clean_bathrooms,1,27.98,76.57,30.0,45.0,30.0
74,clean_bathrooms,2,14.9,84.57,15.0,45.0,15.0
74,clean_bathrooms,3,14.59,64.38,15.0,45.0,15.0
75,put_away_dishes,1,26.01,12.01,30.0,15.0,22.5
75,put_away_dishes,2,14.29,14.5,15.0,15.0,15.0
75,put_away_dishes,3,13.54,14.63,15.0,15.0,15.0
76,clean_sink,1,5.13,4.38,0.0,0.0,7.5
76,clean_sink,2,5.76,4.31,0.0,0.0,7.5
76,clean_sink,3,2.82,3.56,0.0,0.0,0.0
77,trash_recycling,1,42.63,11.0,45.0,15.0,45.0
77,trash_recycling,2,23.57,12.04,30.0,15.0,22.5
77,trash_recycling,3,31.3,24.48,30.0,30.0,30.0
78,clean_bathrooms,1,27.14,82.8,30.0,45.0,30.0
78,clean_bathrooms,2,19.89,57.97,15.0,45.0,22.5
78,clean_bathrooms,3,17.06,56.64,15.0,45.0,15.0
79,clean_bathrooms,1,28.22,65.3,30.0,45.0,30.0
79,clean_bathrooms,2,10.88,52.38,15.0,45.0,7.5
79,clean_bathrooms,3,15.71,53.42,15.0,45.0,15.0
80,trash_recycling,1,47.68,23.29,45.0,30.0,45.0
80,trash_recycling,2,23.36,16.85,30.0,15.0,22.5
80,trash_recycling,3,31.18,12.44,30.0,15.0,30.0
81,put_away_dishes,1,28.8,16.29,30.0,15.0,30.0
81,put_away_dishes,2,15.94,19.78,15.0,15.0,15.0
81,put_away_dishes,3,13.09,17.24,15.0,15.0,15.0
82,trash_recycling,1,50.88,16.3,45.0,15.0,45.0
82,trash_recycling,2,24.69,10.55,30.0,15.0,22.5
82,trash_recycling,3,29.21,16.19,30.0,15.0,30.0
83,trash_recycling,1,65.81,21.62,45.0,15.0,45.0
83,trash_recycling,2,21.85,16.9,15.0,15.0,22.5
83,trash_recycling,3,22.33,21.03,15.0,15.0,22.5
84,kitchen_surfaces,1,15.15,13.2,15.0,15.0,15.0
84,kitchen_surfaces,2,10.31,14.75,15.0,15.0,7.5
84,kitchen_surfaces,3,10.66,11.58,15.0,15.0,7.5
85,kitchen_surfaces,1,16.55,17.54,15.0,15.0,15.0
85,kitchen_surfaces,2,10.18,10.7,15.0,15.0,7.5
85,kitchen_surfaces,3,8.47,7.82,15.0,15.0,7.5
86,clean_sink,1,9.72,3.6,15.0,0.0,7.5
86,clean_sink,2,4.37,4.06,0.0,0.0,7.5
86,clean_sink,3,3.08,3.72,0.0,0.0,0.0
87,put_away_dishes,1,25.9,18.51,30.0,15.0,22.5
87,put_away_dishes,2,18.31,14.22,15.0,15.0,15.0
87,put_away_dishes,3,18.87,12.48,15.0,15.0,22.5
88,vacuum_downstairs,1,16.44,23.58,15.0,30.0,15.0
88,vacuum_downstairs,2,8.07,15.51,15.0,15.0,7.5
88,vacuum_downstairs,3,6.76,12.43,0.0,15.0,7.5
89,kitchen_surfaces,1,20.16,17.27,15.0,15.0,22.5
89,kitchen_surfaces,2,11.78,14.45,15.0,15.0,15.0
89,kitchen_surfaces,3,10.18,15.11,15.0,15.0,7.5
90,kitchen_surfaces,1,19.36,11.92,15.0,15.0,22.5
90,kitchen_surfaces,2,9.31,10.53,15.0,15.0,7.5
90,kitchen_surfaces,3,7.32,9.36,0.0,15.0,7.5
91,trash_recycling,1,61.2,24.41,45.0,30.0,45.0
91,trash_recycling,2,18.33,11.74,15.0,15.0,15.0
91,trash_recycling,3,24.25,16.84,30.0,15.0,22.5
92,put_away_dishes,1,30.82,21.46,30.0,15.0,30.0
92,put_away_dishes,2,12.2,13.22,15.0,15.0,15.0
92,put_away_dishes,3,20.75,18.78,15.0,15.0,22.5
93,trash_recycling,1,47.47,19.2,45.0,15.0,45.0
93,trash_recycling,2,18.22,9.78,15.0,15.0,15.0
93,trash_recycling,3,25.87,14.41,30.0,15.0,22.5
94,kitchen_surfaces,1,20.12,9.94,15.0,15.0,22.5
94,kitchen_surfaces,2,7.72,9.04,15.0,15.0,7.5
94,kitchen_surfaces,3,8.57,11.35,15.0,15.0,7.5
95,clean_bathrooms,1,31.11,59.74,30.0,45.0,30.0
95,clean_bathrooms,2,13.42,44.96,15.0,45.0,15.0
95,clean_bathrooms,3,20.36,62.36,15.0,45.0,22.5
96,kitchen_surfaces,1,18.31,18.33,15.0,15.0,15.0
96,kitchen_surfaces,2,12.65,8.56,15.0,15.0,15.0
96,kitchen_surfaces,3,12.68,13.5,15.0,15.0,15.0
97,kitchen_surfaces,1,15.29,12.68,15.0,15.0,15.0
97,kitchen_surfaces,2,11.03,15.74,15.0,15.0,7.5
97,kitchen_surfaces,3,13.69,15.64,15.0,15.0,15.0
98,vacuum_downstairs,1,14.22,21.49,15.0,15.0,15.0
98,vacuum_downstairs,2,8.69,14.64,15.0,15.0,7.5
98,vacuum_downstairs,3,8.69,20.89,15.0,15.0,7.5
99,vacuum_downstairs,1,13.37,14.3,15.0,15.0,15.0
99,vacuum_downstairs,2,7.38,10.89,0.0,15.0,7.5
99,vacuum_downstairs,3,6.55,18.22,0.0,15.0,7.5
100,kitchen_surfaces,1,19.32,18.1,15.0,15.0,22.5
100,kitchen_surfaces,2,10.97,10.82,15.0,15.0,7.5
100,kitchen_surfaces,3,9.5,13.16,15.0,15.0,7.5
101,trash_recycling,1,36.27,15.51,30.0,15.0,37.5
101,trash_recycling,2,24.61,21.32,30.0,15.0,22.5
101,trash_recycling,3,22.69,10.26,30.0,15.0,22.5
102,put_away_dishes,1,31.64,11.33,30.0,15.0,30.0
102,put_away_dishes,2,14.16,16.45,15.0,15.0,15.0
102,put_away_dishes,3,16.36,23.08,15.0,30.0,15.0
103,put_away_dishes,1,27.46,15.51,30.0,15.0,30.0
103,put_away_dishes,2,17.25,13.95,15.0,15.0,15.0
103,put_away_dishes,3,16.85,12.34,15.0,15.0,15.0
104,put_away_dishes,1,27.44,22.19,30.0,15.0,30.0
104,put_away_dishes,2,14.63,16.08,15.0,15.0,15.0
104,put_away_dishes,3,17.45,18.42,15.0,15.0,15.0
105,put_away_dishes,1,32.56,12.46,30.0,15.0,30.0
105,put_away_dishes,2,15.91,13.39,15.0,15.0,15.0
105,put_away_dishes,3,18.18,16.29,15.0,15.0,15.0
106,vacuum_downstairs,1,12.47,18.73,15.0,15.0,15.0
106,vacuum_downstairs,2,8.65,15.22,15.0,15.0,7.5
106,vacuum_downstairs,3,7.49,16.73,0.0,15.0,7.5
107,clean_sink,1,8.06,4.42,15.0,0.0,7.5
107,clean_sink,2,2.71,2.92,0.0,0.0,0.0
107,clean_sink,3,4.25,3.65,0.0,0.0,7.5
108,put_away_dishes,1,36.77,28.27,30.0,30.0,37.5
108,put_away_dishes,2,17.96,16.77,15.0,15.0,15.0
108,put_away_dishes,3,16.47,15.64,15.0,15.0,15.0
109,clean_microwave,1,7.7,11.72,15.0,15.0,7.5
109,clean_microwave,2,3.04,7.24,0.0,0.0,0.0
109,clean_microwave,3,4.92,8.62,0.0,15.0,7.5
110,put_away_dishes,1,31.08,16.7,30.0,15.0,30.0
110,put_away_dishes,2,21.29,14.01,15.0,15.0,22.5
110,put_away_dishes,3,17.15,21.11,15.0,15.0,15.0
111,kitchen_surfaces,1,21.92,16.71,15.0,15.0,22.5
111,kitchen_surfaces,2,6.66,8.79,0.0,15.0,7.5
111,kitchen_surfaces,3,9.01,10.11,15.0,15.0,7.5
112,kitchen_surfaces,1,14.76,12.37,15.0,15.0,15.0
112,kitchen_surfaces,2,13.01,10.86,15.0,15.0,15.0
112,kitchen_surfaces,3,8.32,11.46,15.0,15.0,7.5
113,kitchen_surfaces,1,20.7,11.23,15.0,15.0,22.5
113,kitchen_surfaces,2,10.08,8.01,15.0,15.0,7.5
113,kitchen_surfaces,3,7.38,9.97,0.0,15.0,7.5
114,put_away_dishes,1,36.4,18.55,30.0,15.0,37.5
114,put_away_dishes,2,14.94,10.8,15.0,15.0,15.0
114,put_away_dishes,3,22.5,15.48,15.0,15.0,22.5
115,put_away_dishes,1,23.54,14.68,30.0,15.0,22.5
115,put_away_dishes,2,19.17,12.86,15.0,15.0,22.5
115,put_away_dishes,3,16.94,9.03,15.0,15.0,15.0
116,clean_microwave,1,8.66,11.53,15.0,15.0,7.5
116,clean_microwave,2,4.49,7.16,0.0,0.0,7.5
116,clean_microwave,3,2.94,5.3,0.0,0.0,0.0
117,put_away_dishes,1,26.19,14.28,30.0,15.0,22.5
117,put_away_dishes,2,17.17,12.86,15.0,15.0,15.0
117,put_away_dishes,3,14.12,17.83,15.0,15.0,15.0
118,clean_sink,1,8.87,4.47,15.0,0.0,7.5
118,clean_sink,2,2.9,2.77,0.0,0.0,0.0
118,clean_sink,3,3.83,3.78,0.0,0.0,7.5
119,clean_sink,1,6.99,3.98,0.0,0.0,7.5
119,clean_sink,2,3.58,3.6,0.0,0.0,0.0
119,clean_sink,3,5.27,3.97,0.0,0.0,7.5
120,clean_sink,1,7.07,4.25,0.0,0.0,7.5
120,clean_sink,2,3.69,4.78,0.0,0.0,0.0
120,clean_sink,3,4.84,2.91,0.0,0.0,7.5
121,clean_bathrooms,1,24.48,65.5,30.0,45.0,22.5
121,clean_bathrooms,2,16.33,55.05,15.0,45.0,15.0
121,clean_bathrooms,3,13.54,62.2,15.0,45.0,15.0
122,put_away_dishes,1,27.9,17.67,30.0,15.0,30.0
122,put_away_dishes,2,16.54,16.7,15.0,15.0,15.0
122,put_away_dishes,3,15.07,15.36,15.0,15.0,15.0
123,trash_recycling,1,43.4,14.0,45.0,15.0,45.0
123,trash_recycling,2,22.22,14.34,15.0,15.0,22.5
123,trash_recycling,3,20.13,17.22,15.0,15.0,22.5
124,vacuum_downstairs,1,15.44,16.49,15.0,15.0,15.0
124,vacuum_downstairs,2,12.27,20.13,15.0,15.0,15.0
124,vacuum_downstairs,3,7.89,18.87,15.0,15.0,7.5
125,kitchen_surfaces,1,13.52,9.85,15.0,15.0,15.0
125,kitchen_surfaces,2,7.26,7.53,0.0,15.0,7.5
125,kitchen_surfaces,3,8.04,10.56,15.0,15.0,7.5
126,kitchen_surfaces,1,20.75,14.75,15.0,15.0,22.5
126,kitchen_surfaces,2,6.91,11.85,0.0,15.0,7.5
126,kitchen_surfaces,3,11.58,13.93,15.0,15.0,15.0
127,trash_recycling,1,34.84,27.41,30.0,30.0,37.5
127,trash_recycling,2,19.6,12.06,15.0,15.0,22.5
127,trash_recycling,3,25.03,13.12,30.0,15.0,22.5
128,vacuum_downstairs,1,11.32,19.92,15.0,15.0,15.0
128,vacuum_downstairs,2,7.82,16.0,15.0,15.0,7.5
128,vacuum_downstairs,3,9.15,18.25,15.0,15.0,7.5
129,put_away_dishes,1,24.25,19.45,30.0,15.0,22.5
129,put_away_dishes,2,14.77,11.32,15.0,15.0,15.0
129,put_away_dishes,3,14.71,20.46,15.0,15.0,15.0
130,put_away_dishes,1,35.71,21.52,30.0,15.0,37.5
130,put_away_dishes,2,16.1,20.04,15.0,15.0,15.0
130,put_away_dishes,3,16.74,15.61,15.0,15.0,15.0
131,kitchen_surfaces,1,22.23,13.94,15.0,15.0,22.5
131,kitchen_surfaces,2,11.63,7.56,15.0,15.0,15.0
131,kitchen_surfaces,3,9.78,10.21,15.0,15.0,7.5
132,vacuum_downstairs,1,14.08,11.95,15.0,15.0,15.0
132,vacuum_downstairs,2,6.84,9.7,0.0,15.0,7.5
132,vacuum_downstairs,3,8.2,11.56,15.0,15.0,7.5
133,kitchen_surfaces,1,22.07,16.77,15.0,15.0,22.5
133,kitchen_surfaces,2,8.88,10.86,15.0,15.0,7.5
133,kitchen_surfaces,3,12.03,10.77,15.0,15.0,15.0
134,put_away_dishes,1,31.54,16.41,30.0,15.0,30.0
134,put_away_dishes,2,16.72,11.4,15.0,15.0,15.0
134,put_away_dishes,3,17.41,19.44,15.0,15.0,15.0
135,trash_recycling,1,39.44,16.3,45.0,15.0,37.5
135,trash_recycling,2,25.0,17.94,30.0,15.0,22.5
135,trash_recycling,3,22.61,14.16,30.0,15.0,22.5
136,kitchen_surfaces,1,18.27,16.69,15.0,15.0,15.0
136,kitchen_surfaces,2,8.71,9.3,15.0,15.0,7.5
136,kitchen_surfaces,3,12.93,12.58,15.0,15.0,15.0
137,kitchen_surfaces,1,18.62,13.36,15.0,15.0,15.0
137,kitchen_surfaces,2,7.33,11.62,0.0,15.0,7.5
137,kitchen_surfaces,3,10.11,12.62,15.0,15.0,7.5
138,clean_sink,1,6.49,2.72,0.0,0.0,7.5
138,clean_sink,2,4.11,3.61,0.0,0.0,7.5
138,clean_sink,3,4.49,5.49,0.0,0.0,7.5
139,trash_recycling,1,35.09,14.44,30.0,15.0,37.5
139,trash_recycling,2,22.49,19.05,15.0,15.0,22.5
139,trash_recycling,3,20.46,9.06,15.0,15.0,22.5
140,put_away_dishes,1,45.03,27.57,45.0,30.0,45.0
140,put_away_dishes,2,15.67,16.93,15.0,15.0,15.0
140,put_away_dishes,3,15.99,15.03,15.0,15.0,15.0
141,trash_recycling,1,53.51,26.65,45.0,30.0,45.0
141,trash_recycling,2,23.14,10.88,30.0,15.0,22.5
141,trash_recycling,3,25.78,16.13,30.0,15.0,22.5
142,clean_bathrooms,1,22.31,55.74,15.0,45.0,22.5
142,clean_bathrooms,2,14.31,76.78,15.0,45.0,15.0
